Date_Time,Model_Name,Train_AUC,Validation_AUC,Accuracy,Precision,Recall,F1_Score,Log_Loss,MCC,Balanced_Accuracy,Confusion_Matrix_TP,Confusion_Matrix_FP,Confusion_Matrix_FN,Confusion_Matrix_TN,Model_Filename,Learning_Rate,N_Estimators,Max_Depth,Min_Child_Weight,Gamma,Subsample,Colsample_Bytree,Reg_Lambda,Reg_Alpha,random_state,scale_pos_weight,kaggle_score
20230628_122650,XGBoost,0.999775467,0.97396302,0.979086279,0.732248521,0.846153846,0.785091197,0.077605729,0.77639543,0.91576261,495,181,90,12192,Models\XGBoost_model-20230628_122650.pickle,0.008,1300,10.0,5.0,0.1,0.8,0.8,1.0,1.0,,22.47373188,
20230628_123243,XGBoost,0.999771223,0.974255219,0.978391727,0.720694645,0.851282051,0.780564263,0.077290839,0.772234317,0.917841785,498,193,87,12180,Models\XGBoost_model-20230628_123243.pickle,0.008,1300,10.0,5.0,0.1,0.8,0.8,1.0,1.0,,22.47373188,0.95076
20230628_132757,XGBoost,0.999635136,0.966592286,0.973684211,0.66437414,0.832758621,0.739097169,0.096841827,0.730560667,0.906523114,483,244,97,12134,Models\XGBoost_model-20230628_132757.pickle,0.008,1300,10.0,5.0,0.1,0.8,0.8,1.0,1.0,,22.42069589,
20230628_134846,XGBoost,0.999656529,0.966733944,0.9739929,0.668049793,0.832758621,0.741366078,0.096305501,0.732750157,0.906684691,483,240,97,12138,Models\XGBoost_model-20230628_134846.pickle,0.008,1300,10.0,5.0,0.1,0.8,0.8,1.0,1.0,,22.42069589,
20230628_141135,XGBoost,0.999641556,0.967272441,0.974841797,0.676880223,0.837931034,0.748844376,0.09645716,0.740406021,0.909594052,486,232,94,12146,Models\XGBoost_model-20230628_141135.pickle,0.008,1300,10.0,5.0,0.1,0.8,0.8,1.0,1.0,,22.42069589,
20230628_143743,XGBoost,0.999640846,0.966568745,0.973221176,0.65893588,0.832758621,0.735719726,0.097167933,0.727309155,0.906280748,483,250,97,12128,Models\XGBoost_model-20230628_143743.pickle,0.008,1300,10.0,5.0,0.1,0.8,0.8,1.0,1.0,,22.42069589,
20230628_155549,XGBoost,0.999863437,0.964816394,0.977774348,0.725085911,0.767272727,0.745583039,0.074024968,0.734293199,0.87718891,422,160,128,12248,Models\XGBoost_model-20230628_155549.pickle,0.006,1800,12.0,6.0,0.15,0.9,0.9,1.1,1.1,,22.10744539,
20230628_161923,XGBoost,0.999872671,0.965202362,0.977928693,0.726027397,0.770909091,0.747795414,0.073788643,0.736627775,0.879007092,424,160,126,12248,Models\XGBoost_model-20230628_161923.pickle,0.006,1800,12.0,6.0,0.15,0.9,0.9,1.1,1.1,,22.10744539,
20230628_164110,XGBoost,0.99986707,0.96486519,0.978237382,0.731034483,0.770909091,0.750442478,0.073777691,0.73935837,0.879168279,424,156,126,12252,Models\XGBoost_model-20230628_164110.pickle,0.006,1800,12.0,6.0,0.15,0.9,0.9,1.1,1.1,,22.10744539,
20230628_170616,XGBoost,0.999871214,0.9651754,0.977620003,0.724913495,0.761818182,0.742907801,0.073545323,0.731462484,0.874501934,419,159,131,12249,Models\XGBoost_model-20230628_170616.pickle,0.006,1800,12.0,6.0,0.15,0.9,0.9,1.1,1.1,,22.10744539,
20230628_173016,XGBoost,0.999866305,0.96456553,0.977697175,0.724612737,0.765454545,0.744473917,0.073906088,0.733123934,0.876279819,421,160,129,12248,Models\XGBoost_model-20230628_173016.pickle,0.006,1800,12.0,6.0,0.15,0.9,0.9,1.1,1.1,,22.10744539,
